EGID,id,type,x,y,z
919276,588,wall,164.29,149.64,2.84
919276,588,wall,164.29,149.64,26.37
919276,588,wall,143.34,172.55,26.37
919276,588,wall,143.34,172.55,2.84
919276,588,wall,164.29,149.64,2.84
919276,592,roof,164.29,149.64,26.37
919276,592,roof,171.54,156.27,26.37
919276,592,roof,150.58,179.18,26.37
919276,592,roof,143.34,172.55,26.37
919276,592,roof,164.29,149.64,26.37
919276,146,floor,164.29,149.64,2.84
919276,146,floor,143.34,172.55,2.84
919276,146,floor,150.58,179.18,2.84
919276,146,floor,171.54,156.27,2.84
919276,146,floor,164.29,149.64,2.84
919279,274,wall,251.84,220.70,1.70
919279,274,wall,248.32,224.61,1.70
919279,274,wall,248.32,224.61,32.96
919279,274,wall,251.84,220.70,32.96
919279,274,wall,251.84,220.70,1.70
919279,326,wall,261.33,193.88,1.70
919279,326,wall,264.23,196.50,1.70
919279,326,wall,264.23,196.50,32.91
919279,326,wall,261.33,193.88,32.87
919279,326,wall,261.33,193.88,1.70
919279,348,wall,240.22,217.31,1.70
919279,348,wall,240.22,217.31,32.87
919279,348,wall,248.32,224.61,32.96
919279,348,wall,248.32,224.61,1.70
919279,348,wall,240.22,217.31,1.70
919279,386,wall,264.23,196.50,1.70
919279,386,wall,269.43,201.17,1.70
919279,386,wall,269.43,201.17,32.96
919279,386,wall,264.23,196.50,32.91
919279,386,wall,264.23,196.50,1.70
919279,418,wall,257.03,198.65,1.70
919279,418,wall,261.33,193.88,1.70
919279,418,wall,261.33,193.88,32.87
919279,418,wall,257.03,198.65,32.87
919279,418,wall,257.03,198.65,1.70
919279,426,wall,269.43,201.17,1.70
919279,426,wall,251.84,220.70,1.70
919279,426,wall,251.84,220.70,32.96
919279,426,wall,269.43,201.17,32.96
919279,426,wall,269.43,201.17,1.70
919279,454,wall,240.22,217.31,1.70
919279,454,wall,257.03,198.65,1.70
919279,454,wall,257.03,198.65,32.87
919279,454,wall,240.22,217.31,32.87
919279,454,wall,240.22,217.31,1.70
919279,332,roof,269.43,201.17,32.96
919279,332,roof,251.84,220.70,32.96
919279,332,roof,248.32,224.61,32.96
919279,332,roof,240.22,217.31,32.87
919279,332,roof,257.03,198.65,32.87
919279,332,roof,269.43,201.17,32.96
919279,402,roof,257.03,198.65,32.87
919279,402,roof,264.23,196.50,32.91
919279,402,roof,269.43,201.17,32.96
919279,402,roof,257.03,198.65,32.87
919279,404,roof,261.33,193.88,32.87
919279,404,roof,264.23,196.50,32.91
919279,404,roof,257.03,198.65,32.87
919279,404,roof,261.33,193.88,32.87
919279,400,floor,248.32,224.61,1.70
919279,400,floor,251.84,220.70,1.70
919279,400,floor,269.43,201.17,1.70
919279,400,floor,264.23,196.50,1.70
919279,400,floor,261.33,193.88,1.70
919279,400,floor,257.03,198.65,1.70
919279,400,floor,240.22,217.31,1.70
919279,400,floor,248.32,224.61,1.70
